name,issn
London Business School Review,2057-1615
Lubrication Science,1557-6833
Luminescence,1522-7243
Macromolecular Bioscience,1616-5195
Macromolecular Chemistry and Physics,1521-3935
Macromolecular Materials and Engineering,1439-2054
Macromolecular Rapid Communications,1521-3927
Macromolecular Reaction Engineering,1862-8338
Macromolecular Theory and Simulations,1521-3919
Magnetic Resonance in Chemistry,1097-458X
Magnetic Resonance in Medicine,1522-2594
Makromolekulare Chemie. Supplementband,1521-3900
Mammal Review,1365-2907
Management Report for Nonunion Organizations,1530-8286
Management and Organization Review,1740-8784
Managerial and Decision Economics,1099-1468
Marine Ecology,1439-0485
Marine Mammal Science,1748-7692
Marine and Coastal Fisheries,1942-5120
Mass Spectrometry Reviews,1098-2787
Materials and Corrosion,1521-4176
Materialwissenschaft und Werkstofftechnik,1521-4052
Maternal & Child Nutrition,1740-8709
Mathematical Finance,1467-9965
Mathematical Logic Quarterly,1521-3870
Mathematical Methods in the Applied Sciences,1099-1476
Mathematische Nachrichten,1522-2616
Mauerwerk,1437-1022
Mechanics of Cohesive-frictional Materials,1099-1484
Medical Anthropology Quarterly,1548-1387
Medical Devices & Sensors,2573-802X
Medical Education,1365-2923
Medical Mycology,1365-280X
Medical Physics,2473-4209
Medical and Veterinary Entomology,1365-2915
Medicinal Research Reviews,1098-1128
Mental Health Weekly,1556-7583
Mergent's Dividend Achievers,1548-2839
Metaphilosophy,1467-9973
Meteoritics & Planetary Science,1945-5100
Meteorological Applications,1469-8080
Methods in Ecology and Evolution,2041-210X
Metroeconomica,1467-999X
Microbial Biotechnology,1751-7915
Microbiology and Immunology,1348-0421
MicrobiologyOpen,2045-8827
Microcirculation,1549-8719
Microscopy Research and Technique,1097-0029
Microsurgery,1098-2752
Microwave and Optical Technology Letters,1098-2760
Middle East Policy,1475-4967
Midwest Studies In Philosophy,1475-4975
Milton Quarterly,1094-348X
Mind & Language,1468-0017
"Mind, Brain, and Education",1751-228X
Mining Report,2195-8378
Mitteilungen der Deutschen Entomologischen Gesellschaft,1860-1324
Modern Theology,1468-0025
Molecular Carcinogenesis,1098-2744
Molecular Ecology,1365-294X
Molecular Ecology Resources,1755-0998
Molecular Genetics & Genomic Medicine,2324-9269
Molecular Informatics,1868-1751
Molecular Microbiology,1365-2958
Molecular Nutrition & Food Research,1613-4133
Molecular Oncology,1878-0261
Molecular Oral Microbiology,2041-1014
Molecular Plant Pathology,1364-3703
Molecular Reproduction and Development,1098-2795
Molecular Systems Biology,1744-4292
Monographs of the Society for Research in Child Development,1540-5834
Monthly Notices of the Royal Astronomical Society,1365-2966
Monthly Notices of the Royal Astronomical Society: Letters,1745-3933
Mount Sinai Journal of Medicine: A Journal of Translational and Personalized Medicine,1931-7581
Movement Disorders,1531-8257
Movement Disorders Clinical Practice,2330-1619
Muscle & Nerve,1097-4598
Musculoskeletal Care,1557-0681
Museum Anthropology,1548-1379
Museum International,1468-0033
Museum International (Edition Francaise),1755-5825
Music Analysis,1468-2249
Mycoses,1439-0507
NMR in Biomedicine,1099-1492
Nachrichten aus der Chemie,1868-0054
National Civic Review,1542-7811
Nations and Nationalism,1469-8129
Natural Gas & Electricity,1545-7907
Natural Resource Modeling,1939-7445
Natural Resources Forum,1477-8947
Natural Toxins,1522-7189
Naval Engineers Journal,1559-3584
Naval Research Logistics (NRL),1520-6750
Navigation,2161-4296
Negotiation Journal,1571-9979
Negotiation and Conflict Management Research,1750-4716
Nephrology,1440-1797
Networks,1097-0037
Neurogastroenterology & Motility,1365-2982
Neurology and Clinical Neuroscience,2049-4173
Neuromodulation: Technology at the Neural Interface,1525-1403
Neuropathology,1440-1789
Neuropathology and Applied Neurobiology,1365-2990
Neuropsychopharmacology Reports,2574-173X
Neuroscience Research Communications,1520-6769
Neurourology and Urodynamics,1520-6777
New Blackfriars,1741-2005
New Directions for Adult and Continuing Education,1536-0717
New Directions for Child and Adolescent Development,1534-8687
New Directions for Community Colleges,1536-0733
New Directions for Evaluation,1534-875X
New Directions for Higher Education,1536-0741
New Directions for Institutional Research,1536-075X
New Directions for Philanthropic Fundraising,1542-7846
New Directions for Student Leadership,2373-3357
New Directions for Student Services,1536-0695
New Directions for Teaching and Learning,1536-0768
New Horizons in Adult Education and Human Resource Development,1939-4225
New Microbes and New Infections,2052-2975
New Perspectives Quarterly,1540-5842
New Phytologist,1469-8137
"New Technology, Work and Employment",1468-005X
New Zealand Geographer,1745-7939
Nonprofit Business Advisor,1949-3193
Nonprofit Communications Report,2325-8616
Nonprofit Management and Leadership,1542-7854
Nontraditional Students Report,1943-7501
Nordic Journal of Botany,1756-1051
North American Dialogue,1556-4819
North American Journal of Aquaculture,1548-8454
North American Journal of Fisheries Management,1548-8675
Noûs,1468-0068
Numerical Linear Algebra with Applications,1099-1506
Numerical Methods for Partial Differential Equations,1098-2426
Nursing & Health Sciences,1442-2018
Nursing Forum,1744-6198
Nursing Inquiry,1440-1800
Nursing Open,2054-1058
Nursing Philosophy,1466-769X
Nursing for Women's Health,1751-486X
Nursing in Critical Care,1478-5153
Nutrition & Dietetics,1747-0080
Nutrition Bulletin,1467-3010
Nutrition Reviews,1753-4887
Nutrition in Clinical Care,1523-5408
Nutrition in Clinical Practice,1941-2452
Nutritional Anthropology,1548-7172
OPEC Energy Review,1753-0237
Obesity,1930-739X
Obesity Reviews,1467-789X
Obesity Science & Practice,2055-2238
Occupational Therapy International,1557-0703
Oceania,1834-4461
Oikos,1600-0706
Oil and Energy Trends,1744-7992
Oil and Energy Trends: Annual Statistical Review,1746-9066
Ophthalmic and Physiological Optics,1475-1313
Optik & Photonik,2191-1975
Optimal Control Applications and Methods,1099-1514
Oral Diseases,1601-0825
Oral Surgery,1752-248X
Orbis Litterarum,1600-0730
Orthodontics & Craniofacial Research,1601-6343
Orthopaedic Surgery,1757-7861
Oryx,1365-3008
Oxford Bulletin of Economics and Statistics,1468-0084
Oxford Journal of Archaeology,1468-0092
Oxonomics,1752-5209
P2: Pollution Prevention Review,1520-6815
PAMM,1617-7061
PROTEOMICS,1615-9861
PROTEOMICS - Clinical Applications,1862-8354
Pacific Economic Review,1468-0106
Pacific Focus,1976-5118
Pacing and Clinical Electrophysiology,1540-8159
Packaging Technology and Science,1099-1522
Paediatric and Perinatal Epidemiology,1365-3016
Pain Medicine,1526-4637
Pain Practice,1533-2500
Palaeontology,1475-4983
Paleoceanography and Paleoclimatology,2572-4525
Papers in Palaeontology,2056-2802
Papers in Regional Science,1435-5957
Parasite Immunology,1365-3024
Parliamentary History,1750-0206
Particle & Particle Systems Characterization,1521-4117
Pastoral Care in Education,1468-0122
Pathogens and Disease,2049-632X
Pathology International,1440-1827
Peace & Change,1468-0130
Pediatric Allergy and Immunology,1399-3038
Pediatric Anesthesia,1460-9592
Pediatric Blood & Cancer,1545-5017
Pediatric Dermatology,1525-1470
Pediatric Diabetes,1399-5448
Pediatric Investigation,2574-2272
Pediatric Obesity,2047-6310
Pediatric Pulmonology,1099-0496
Pediatric Transplantation,1399-3046
Pediatrics International,1442-200X
Peptide Science,2475-8817
Performance Improvement,1930-8272
Performance Improvement Quarterly,1937-8327
Periodontology 2000,1600-0757
Permafrost and Periglacial Processes,1099-1530
Personal Relationships,1475-6811
Personality and Mental Health,1932-863X
Personnel Psychology,1744-6570
Perspectives in Psychiatric Care,1744-6163
Perspectives on Psychological Science,1745-6924
Perspectives on Sexual and Reproductive Health,1931-2393
Perspektiven der Wirtschaftspolitik,1468-2516
Pest Management Science,1526-4998
Pharmaceutical Statistics,1539-1612
Pharmacoepidemiology and Drug Safety,1099-1557
Pharmacology Research & Perspectives,2052-1707
Pharmacotherapy: The Journal of Human Pharmacology and Drug Therapy,1875-9114
Pharmacy and Pharmacology Communications,2042-7158
Pharmazie in unserer Zeit,1615-1003
Philosophical Investigations,1467-9205
Philosophical Issues,1758-2237
Philosophical Perspectives,1520-8583
Philosophy & Public Affairs,1088-4963
Philosophy Compass,1747-9991
Philosophy and Phenomenological Research,1933-1592
Photochemistry and Photobiology,1751-1097
"Photodermatology, Photoimmunology & Photomedicine",1600-0781
Phycological Research,1440-1835
Physik in unserer Zeit,1521-3943
Physikalische Blätter,1521-3722
Physiologia Plantarum,1399-3054
Physiological Entomology,1365-3032
Physiological Reports,2051-817X
Physiotherapy Research International,1471-2865
Phytochemical Analysis,1099-1565
Phytotherapy Research,1099-1573
Pigment Cell & Melanoma Research,1755-148X
Plant Biology,1438-8677
Plant Biotechnology Journal,1467-7652
Plant Breeding,1439-0523
Plant Direct,2475-4455
Plant Pathology,1365-3059
Plant Species Biology,1442-1984
"Plant, Cell & Environment",1365-3040
Plasma Processes and Polymers,1612-8869
PoLAR: Political and Legal Anthropology Review,1555-2934
Poe Studies,1754-6095
Polar Research,1751-8369
Policy & Internet,1944-2866
Policy Studies Journal,1541-0072
Political Insight,2041-9066
Political Psychology,1467-9221
Political Science Quarterly,1538-165X
Political Studies,1467-9248
Political Studies Review,1478-9302
Politics,1467-9256
Politics & Policy,1747-1346
Polymer Composites,1548-0569
Polymer Crystallization,2573-7619
Polymer Engineering & Science,1548-2634
Polymer International,1097-0126
Polymers for Advanced Technologies,1099-1581
Population Council Book Series,2326-4624
Population and Development Review,1728-4457
"Population, Space and Place",1544-8452
Poverty & Public Policy,1944-2858
Practical Diabetes,2047-2900
Practice Development in Health Care,1557-105X
Precision Radiation Oncology,2398-7324
Prenatal Diagnosis,1097-0223
Prescriber,1931-2253
Presidential Studies Quarterly,1741-5705
Preventive Cardiology,1751-7141
Proceedings of the African Futures Conference,2573-508X
Proceedings of the Aristotelian Society (Hardback),1467-9264
Proceedings of the Association for Information Science and Technology,2373-9231
Proceedings of the Association of American Physicians,1525-1381
Proceedings of the International Society for Magnetic Resonance in Medicine,1557-3672
Proceedings of the Linnean Society of London,1095-8312
Proceedings of the London Mathematical Society,1460-244X
Proceedings of the Society for Experimental Biology and Medicine,1525-1373
Process Safety Progress,1547-5913
Production and Operations Management,1937-5956
Progress in Cardiovascular Nursing,1751-7117
Progress in Neurology and Psychiatry,1931-227X
Progress in Orthodontics,1723-7785
Progress in Photovoltaics: Research and Applications,1099-159X
Progress in Structural Engineering and Materials,1528-2716
Progress in Tourism and Hospitality Research,1099-1603
"Propellants, Explosives, Pyrotechnics",1521-4087
Protein Science,1469-896X
"Proteins: Structure, Function, and Bioinformatics",1097-0134
PsyCh Journal,2046-0260
Psychiatry and Clinical Neurosciences,1440-1819
Psycho-Oncology,1099-1611
Psychogeriatrics,1479-8301
Psychological Science,1467-9280
Psychology & Marketing,1520-6793
"Psychology and Psychotherapy: Theory, Research and Practice",2044-8341
Psychology in the Schools,1520-6807
Psychology of Women Quarterly,1471-6402
Psychophysiology,1469-8986
Psychotherapy and Politics International,1556-9195
Public Administration,1467-9299
Public Administration Review,1540-6210
Public Administration and Development,1099-162X
Public Budgeting & Finance,1540-5850
Public Health Nursing,1525-1446
Quality Assurance and Safety of Crops & Foods,1757-837X
Quality and Reliability Engineering International,1099-1638
Quantitative Economics,1759-7331
Quarterly Journal of the Royal Meteorological Society,1477-870X
R&D Management,1467-9310
RISKNEWS,1616-0045
Radiation Oncology Investigations,1520-6823
Radio Science,1944-799X
Random Structures & Algorithms,1098-2418
Rapid Communications in Mass Spectrometry,1097-0231
Ratio,1467-9329
Ratio Juris,1467-9337
Reading Research Quarterly,1936-2722
Real Estate Economics,1540-6229
Recruiting & Retaining Adult Learners,2155-6458
Recueil des Travaux Chimiques des Pays-Bas,0165-0513
Regeneration,2052-4412
Regional Science Policy & Practice,1757-7802
Regulation & Governance,1748-5991
Rehabilitation Nursing,2048-7940
Religion Compass,1749-8171
Religious Studies Review,1748-0922
Remediation Journal,1520-6831
Remote Sensing in Ecology and Conservation,2056-3485
Renaissance Studies,1477-4658
Reproduction in Domestic Animals,1439-0531
Reproductive Medicine and Biology,1447-0578
Research Synthesis Methods,1759-2887
Research World,2330-4448
Research and Practice in Thrombosis and Haemostasis,2475-0379
Research in Nursing & Health,1098-240X
Resource Geology,1751-3928
Respirology,1440-1843
Respirology Case Reports,2051-3380
Restoration Ecology,1526-100X
Review of Agricultural Economics,1467-9353
Review of Behavioral Finance,1940-5987
Review of Development Economics,1467-9361
Review of Economic Studies,1467-937X
Review of Education,2049-6613
"Review of European, Comparative & International Environmental Law",2050-0394
Review of Financial Economics,1873-5924
Review of Income and Wealth,1475-4991
Review of International Economics,1467-9396
Review of Policy Research,1541-1338
Review of Urban & Regional Development Studies,1467-940X
Reviews in Aquaculture,1753-5131
Reviews in Clinical and Experimental Hematology,1468-0734
Reviews in Medical Virology,1099-1654
Reviews in Religion & Theology,1467-9418
Reviews of Geophysics,1944-9208
Revista Internacional de Seguridad Social,1752-1734
Revista Internacional del Trabajo,1564-9148
Revue Romane,1600-0811
Revue internationale de sécurité sociale,1752-1718
Revue internationale du Travail,1564-9121
Risk Analysis,1539-6924
Risk Management and Insurance Review,1540-6296
"Risk, Hazards & Crisis in Public Policy",1944-4079
River Research and Applications,1535-1467
Rural Sociology,1549-0831
Russian Economic Trends,1467-9426
SID Symposium Digest of Technical Papers,2168-0159
SKINmed: Dermatology for the Clinician,1751-7125
SOLGAN,1547-5298
STEM CELLS,1549-4918
STEM CELLS Translational Medicine,2157-6580
Scandinavian Journal of Caring Sciences,1471-6712
Scandinavian Journal of Immunology,1365-3083
Scandinavian Journal of Medicine & Science in Sports,1600-0838
Scandinavian Journal of Metallurgy,1600-0692
Scandinavian Journal of Psychology,1467-9450
Scandinavian Journal of Statistics,1467-9469
Scandinavian Political Studies,1467-9477
Scanning,1932-8745
School Science and Mathematics,1949-8594
Science Education,1098-237X
Science News,1943-0930
Scottish Journal of Political Economy,1467-9485
Security and Communication Networks,1939-0122
Security and Privacy,2475-6725
Sedimentology,1365-3091
Seminars in Dialysis,1525-139X
Seminars in Surgical Oncology,1098-2388
Sensors Update,1616-8984
Separation Science Plus,2573-1815
Sexual Medicine,2050-1161
Sexual Medicine Reviews,2050-0521
Shoulder & Elbow,1758-5740
Signal Transduction,1615-4061
Significance,1740-9713
Singapore Journal of Tropical Geography,1467-9493
Single Molecules,1438-5171
Skin Research and Technology,1600-0846
Sleep and Biological Rhythms,1479-8425
Small,1613-6829
Small Methods,2366-9608
Social Anthropology,1469-8676
Social Development,1467-9507
Social Issues and Policy Review,1751-2409
Social Policy & Administration,1467-9515
Social Science Quarterly,1540-6237
Social and Personality Psychology Compass,1751-9004
Sociologia Ruralis,1467-9523
Sociological Forum,1573-7861
Sociological Inquiry,1475-682X
Sociological Methodology,1467-9531
Sociological Theory,1467-9558
Sociology Compass,1751-9020
Sociology of Health & Illness,1467-9566
Software Focus,1529-7950
Software Process: Improvement and Practice,1099-1670
"Software Testing, Verification and Reliability",1099-1689
Software: Practice and Experience,1097-024X
Soil Science & Plant Nutrition,1747-0765
Soil Use and Management,1475-2743
Solar RRL,2367-198X
Somnologie,1439-054X
Sonography,2054-6750
South African Journal of Economics,1813-6982
Southern Economic Journal,2325-8012
Space Weather,1542-7390
Space Weather Quarterly,2325-4432
Special Care in Dentistry,1754-4505
Special Events Galore,2325-8586
Spirituality and Health International,1557-0665
Sports Engineering,1460-2687
Sports Technology,1934-6190
Stahlbau,1437-1049
Starch - Stärke,1521-379X
Stat,2049-1573
Statistica Neerlandica,1467-9574
Statistical Analysis and Data Mining: The ASA Data Science Journal,1932-1872
Statistics in Medicine,1097-0258
Steel Construction,1867-0539
Steinbeck Review,1754-6087
Strain,1475-1305
Strategic Change,1099-1697
Strategic Enrollment Management Quarterly,2325-4750
Strategic Entrepreneurship Journal,1932-443X
Strategic Management Journal,1097-0266
Stress and Health,1532-2998
Structural Concrete,1751-7648
Structural Control and Health Monitoring,1545-2263
Student Affairs Today,1943-7552
Student Aid News,1943-751X
Studia Linguistica,1467-9582
Studies in Applied Mathematics,1467-9590
Studies in Ethnicity and Nationalism,1754-9469
Studies in Family Planning,1728-4465
Successful Fundraising,2325-8624
Suicide and Life-Threatening Behavior,1943-278X
Support for Learning,1467-9604
Surface and Interface Analysis,1096-9918
Surgical Practice,1744-1633
Sustainable Development,1099-1719
Swiss Political Science Review,1662-6370
Symbolic Interaction,1533-8665
Synapse,1098-2396
Syntax,1467-9612
System Dynamics Review,1099-1727
Systematic Entomology,1365-3113
Systems Engineering,1520-6858
Systems Research and Behavioral Science,1099-1743
Systems and Computers in Japan,1520-684X
TESOL Journal,1949-3533
TESOL Quarterly,1545-7249
Teaching Anthropology: Society for Anthropology in Community Colleges Notes,1941-4161
Teaching Statistics,1467-9639
Teaching Theology & Religion,1467-9647
Tectonics,1944-9194
Tellus,2153-3490
Tellus A,1600-0870
Tellus B,1600-0889
"Teratogenesis, Carcinogenesis, and Mutagenesis",1520-6866
Teratology,1096-9926
Terra Nova,1365-3121
The American Journal of Geriatric Cardiology,1751-715X
The American Journal on Addictions,1521-0391
The Anatomical Record,1932-8494
The Art Book,1467-8357
The Australian Journal of Anthropology,1757-6547
The Breast Journal,1524-4741
The British Journal of Politics & International Relations,1467-856X
The British Journal of Sociology,1468-4446
The Brown University Child & Adolescent Psychopharmacology Update,1556-7567
The Brown University Child and Adolescent Behavior Letter,1556-7575
The Brown University Digest of Addiction Theory and Application,1556-7559
The Brown University Geriatric Psychopharmacology Update,1556-7540
The Brown University Psychopharmacology Update,1556-7532
The Bulletin of the Ecological Society of America,2327-6096
The CSAS Bulletin,1548-7431
The Canadian Geographer / Le Géographe canadien,1541-0064
The Canadian Journal of Chemical Engineering,1939-019X
The Career Development Quarterly,2161-0045
The Chemical Record,1528-0691
The Clinical Respiratory Journal,1752-699X
The Clinical Teacher,1743-498X
The Department Chair,1936-4393
The Depositional Record,2055-4877
The Developing Economies,1746-1049
The EMBO Journal,1460-2075
The Econometrics Journal,1368-423X
The Economic History Review,1468-0289
The Economic Journal,1468-0297
The Ecumenical Review,1758-6623
The Electronic Journal of Information Systems in Developing Countries,1681-4835
The F. Scott Fitzgerald Review,1755-6333
The FEBS Journal,1742-4658
The Geographical Journal,1475-4959
The German Quarterly,1756-1183
The Heythrop Journal,1468-2265
The Howard Journal of Crime and Justice,2059-1101
The International Journal of Health Planning and Management,1099-1751
The International Journal of Medical Robotics and Computer Assisted Surgery,1478-596X
The International Journal of Psychoanalysis,1745-8315
The Japanese Economic Review,1468-5876
The Journal of Aesthetics and Art Criticism,1540-6245
The Journal of American Culture,1542-734X
The Journal of Clinical Hypertension,1751-7176
The Journal of Clinical Pharmacology,1552-4604
The Journal of Competency-Based Education,2379-6154
The Journal of Creative Behavior,2162-6057
The Journal of Dermatology,1346-8138
The Journal of Finance,1540-6261
The Journal of Gene Medicine,1521-2254
The Journal of Humanistic Counseling,2161-1939
The Journal of Industrial Economics,1467-6451
The Journal of Industrial Relations,1472-9296
The Journal of Latin American and Caribbean Anthropology,1935-4940
"The Journal of Law, Medicine & Ethics",1748-720X
The Journal of Maternal-Fetal Medicine,1520-6661
The Journal of Mental Health Policy and Economics,1099-176X
The Journal of Pathology,1096-9896
The Journal of Pathology: Clinical Research,2056-4538
The Journal of Physiology,1469-7793
The Journal of Popular Culture,1540-5931
The Journal of Rural Health,1748-0361
The Journal of Sexual Medicine,1743-6109
The Journal of Trace Elements in Experimental Medicine,1520-670X
The Journal of Wildlife Management,1937-2817
The Journal of World Intellectual Property,1747-1796
The Journal of the British Association of Psychotherapists,1556-9160
The Laryngoscope,1531-4995
The Latin Americanist,1557-203X
The Major Gifts Report,2325-8608
The Manchester School,1467-9957
The Mark Twain Annual,1756-2597
The Membership Management Report,2325-8640
The Milbank Quarterly,1468-0009
The Modern Language Journal,1540-4781
The Modern Law Review,1468-2230
The Muslim World,1478-1913
The National Teaching & Learning Forum,2166-3327
The Nonprofit Counsel,1520-6785
The Obstetrician & Gynaecologist,1744-4667
The Oncologist,1549-490X
The Personalist,1468-0114
The Philosophical Forum,1467-9191
The Philosophical Quarterly,1467-9213
The Photogrammetric Record,1477-9730
The Plant Journal,1365-313X
The Political Quarterly,1467-923X
The Professional Geographer,1467-9272
The Prostate,1097-0045
The Prostate Journal,1525-1411
The Psychoanalytic Quarterly,2167-4086
The Quality Assurance Journal,1099-1786
The RAND Journal of Economics,1756-2171
The Reading Teacher,1936-2714
The Russian Review,1467-9434
The Scandinavian Journal of Economics,1467-9442
The Sciences,2326-1951
The Sociological Quarterly,1533-8525
The Sociological Review,1467-954X
The Sociological Review Monographs,2059-7932
The Southern Journal of Philosophy,2041-6962
The Structural Design of Tall and Special Buildings,1541-7808
The Successful Registrar,1943-7560
The Volunteer Management Report,2325-8578
The World Economy,1467-9701
The Yale Review,1467-9736
Theoretical Economics,1555-7561
Theoria,1755-2567
Theory and Practice of Object Systems,1096-9942
Therapeutic Apheresis and Dialysis,1744-9987
Thoracic Cancer,1759-7714
Thought: A Journal of Philosophy,2161-2234
Thunderbird International Business Review,1520-6874
Tijdschrift voor economische en sociale geografie,1467-9663
To Improve the Academy,2334-4822
Topics in Cognitive Science,1756-8765
Traditional & Kampo Medicine,2053-4515
Traffic,1600-0854
Transactions in GIS,1467-9671
Transactions of the American Fisheries Society,1548-8659
Transactions of the Institute of British Geographers,1475-5661
Transactions of the Linnean Society of London,1945-9335
Transactions of the London Mathematical Society,2052-4986
Transactions of the New York Academy of Sciences,2164-0947
Transactions of the Philological Society,1467-968X
Transactions on Emerging Telecommunications Technologies,2161-3915
Transboundary and Emerging Diseases,1865-1682
Transforming Anthropology,1548-7466
Transfusion,1537-2995
Transfusion Alternatives in Transfusion Medicine,1778-428X
Transfusion Medicine,1365-3148
Translational Sports Medicine,2573-8488
Transplant Infectious Disease,1399-3062
Transplant International,1432-2277
Trends in Urology & Men's Health,2044-3749
Tropical Medicine & International Health,1365-3156
Tropical Science,1556-9179
Ultrasound in Obstetrics & Gynecology,1469-0705
Utilities Law Review,1099-1808
Vakuum in Forschung und Praxis,1522-2454
Value in Health,1524-4733
Veterinary Anaesthesia and Analgesia,1467-2995
Veterinary Clinical Pathology,1939-165X
Veterinary Dermatology,1365-3164
Veterinary Medicine and Science,2053-1095
Veterinary Nursing Journal,2045-0648
Veterinary Ophthalmology,1463-5224
Veterinary Radiology & Ultrasound,1740-8261
Veterinary Surgery,1532-950X
Veterinary and Comparative Oncology,1476-5829
Vietnam Journal of Chemistry,2572-8288
Visual Anthropology Review,1548-7458
Voices,1548-7423
Vox Sanguinis,1423-0410
Waste Management and Research,1096-3669
Water Law,1099-1816
Water Resources Research,1944-7973
Water and Environment Journal,1747-6593
Weather,1477-8696
Weed Biology and Management,1445-6664
Weed Research,1365-3180
Wiener Medizinische Wochenschrift,1563-258X
Wildlife Monographs,1938-5455
Wildlife Society Bulletin,1938-5463
Wiley Interdisciplinary Reviews: Climate Change,1757-7799
Wiley Interdisciplinary Reviews: Cognitive Science,1939-5086
Wiley Interdisciplinary Reviews: Computational Molecular Science,1759-0884
Wiley Interdisciplinary Reviews: Computational Statistics,1939-0068
Wiley Interdisciplinary Reviews: Data Mining and Knowledge Discovery,1942-4795
Wiley Interdisciplinary Reviews: Developmental Biology,1759-7692
Wiley Interdisciplinary Reviews: Energy and Environment,2041-840X
Wiley Interdisciplinary Reviews: Membrane Transport and Signaling,2190-4618
Wiley Interdisciplinary Reviews: Nanomedicine and Nanobiotechnology,1939-0041
Wiley Interdisciplinary Reviews: RNA,1757-7012
Wiley Interdisciplinary Reviews: Systems Biology and Medicine,1939-005X
Wiley Interdisciplinary Reviews: Water,2049-1948
Wilmott,1541-8286
Wilmott Journal,1759-636X
Wind Energy,1099-1824
Wireless Communications and Mobile Computing,1530-8677
Women in Higher Education,2331-5466
World Banking Abstracts,1467-9698
World Employment and Social Outlook,2059-3031
World Englishes,1467-971X
World Medical & Health Policy,1948-4682
World Oil Trade,1467-9728
World Psychiatry,2051-5545
Worldviews on Evidence-Based Nursing,1741-6787
Wound Repair and Regeneration,1524-475X
X-Ray Spectrometry,1097-4539
Xenotransplantation,1399-3089
Yearbook of the National Society for the Study of Education,1744-7984
Yeast,1097-0061
ZAMM - Journal of Applied Mathematics and Mechanics / Zeitschrift für Angewandte Mathematik und Mechanik,1521-4001
Zeitschrift für Chemie,0044-2402
Zeitschrift für anorganische und allgemeine Chemie,1521-3749
Zoo Biology,1098-2361
Zoologica Scripta,1463-6409
Zoological Journal of the Linnean Society,1096-3642
Zoonoses and Public Health,1863-2378
Zoosystematics and Evolution,1860-0743
Zygon®,1467-9744
ce/papers,2509-7075
forschung,1522-2357
genesis,1526-968X
geotechnik,2190-6653
human_ontogenetics,1863-9526
physica status solidi (RRL) - Rapid Research Letters,1862-6270
physica status solidi (a),1862-6319
physica status solidi (b),1521-3951
physica status solidi (c),1610-1642
steel research international,1869-344X
日本救急医学会雑誌 Journal of Japanese Association for Acute Medicine,1883-3772
